pid,timestamp,UNLOCK_STATE#unlock_count#weekdays_morning,UNLOCK_STATE#total_duration#weekdays_morning,UNLOCK_STATE#unlock_count#weekdays_afternoon,UNLOCK_STATE#total_duration#weekdays_afternoon,UNLOCK_STATE#unlock_count#weekdays_evening,UNLOCK_STATE#total_duration#weekdays_evening,UNLOCK_STATE#unlock_count#weekdays_night,UNLOCK_STATE#total_duration#weekdays_night,UNLOCK_STATE#unlock_count#weekends_morning,UNLOCK_STATE#total_duration#weekends_morning,UNLOCK_STATE#unlock_count#weekends_afternoon,UNLOCK_STATE#total_duration#weekends_afternoon,UNLOCK_STATE#unlock_count#weekends_evening,UNLOCK_STATE#total_duration#weekends_evening,UNLOCK_STATE#unlock_count#weekends_night,UNLOCK_STATE#total_duration#weekends_night
713,2021-11-08,,,,,13.0,10630.918999999998,,,,,,,,,,
713,2021-11-08,,,,,,,0.0,0.0,,,,,,,,
713,2021-11-09,19.0,5254.699,,,,,,,,,,,,,,
713,2021-11-09,,,21.0,2878.7200000000003,,,,,,,,,,,,
713,2021-11-09,,,,,11.0,12358.3,,,,,,,,,,
713,2021-11-10,19.0,4863.805999999999,,,,,,,,,,,,,,
713,2021-11-10,,,43.0,4010.27,,,,,,,,,,,,
713,2021-11-10,,,,,3.0,8060.376,,,,,,,,,,
713,2021-11-11,23.0,8035.494,,,,,,,,,,,,,,
713,2021-11-11,,,37.0,9515.911,,,,,,,,,,,,
713,2021-11-11,,,,,8.0,15333.855999999998,,,,,,,,,,
713,2021-11-12,47.0,11944.579000000002,,,,,,,,,,,,,,
713,2021-11-12,,,15.0,2143.1259999999997,,,,,,,,,,,,
713,2021-11-12,,,,,15.0,16760.293,,,,,,,,,,
713,2021-11-13,,,,,,,,,3.0,10891.908,,,,,,
713,2021-11-13,,,,,,,,,,,29.0,6971.882,,,,
713,2021-11-13,,,,,,,,,,,,,6.0,16382.447,,
713,2021-11-14,,,,,,,,,1.0,1462.647,,,,,,
713,2021-11-14,,,,,,,,,,,12.0,8794.842,,,,
713,2021-11-14,,,,,,,,,,,,,17.0,18566.735999999997,,
713,2021-11-14,,,,,,,,,,,,,,,0.0,0.0
713,2021-11-15,47.0,11427.652000000002,,,,,,,,,,,,,,
713,2021-11-15,,,16.0,1960.5880000000002,,,,,,,,,,,,
713,2021-11-15,,,,,22.0,10944.624,,,,,,,,,,
713,2021-11-15,,,,,,,0.0,0.0,,,,,,,,
713,2021-11-16,17.0,4460.353,,,,,,,,,,,,,,
713,2021-11-16,,,13.0,1051.725,,,,,,,,,,,,
713,2021-11-16,,,,,17.0,11437.757000000001,,,,,,,,,,
713,2021-11-16,,,,,,,7.0,2150.783,,,,,,,,
713,2021-11-17,13.0,4980.398,,,,,,,,,,,,,,
713,2021-11-17,,,19.0,4912.7840000000015,,,,,,,,,,,,
713,2021-11-17,,,,,17.0,17534.239,,,,,,,,,,
713,2021-11-18,14.0,5838.11,,,,,,,,,,,,,,
713,2021-11-18,,,19.0,4857.144,,,,,,,,,,,,
713,2021-11-18,,,,,26.0,8360.224,,,,,,,,,,
713,2021-11-18,,,,,,,1.0,3352.063,,,,,,,,
713,2021-11-19,4.0,26266.058999999997,,,,,,,,,,,,,,
713,2021-11-19,,,11.0,632.55,,,,,,,,,,,,
713,2021-11-19,,,,,23.0,8541.868,,,,,,,,,,
713,2021-11-19,,,,,,,2.0,4636.182,,,,,,,,
713,2021-11-20,,,,,,,,,7.0,7934.517,,,,,,
713,2021-11-20,,,,,,,,,,,15.0,2068.532,,,,
713,2021-11-20,,,,,,,,,,,,,17.0,9071.744999999999,,
